model,ts_code,trade_date,priority_name,priority,target,ret,ret_ew,buy,sell,holding_days,exit_reason,csi1500_ew
h2m80d50_dual,600353.SH,20260814,strong_only,2,,,,,,,,
h2m80d50_dual,603083.SH,20260814,strong_only,2,,,,,,,,
h2m80d50_dual,300570.SZ,20260813,overlap_core,1,,0.07652313024930013,0.07687885122832105,150.02,,1.0,,-0.0003557209790209237
h2m80d50_dual,688048.SH,20260813,overlap_core,1,,0.027769542444905593,0.028125263423926516,303.57,,1.0,,-0.0003557209790209237
h2m80d50_dual,688123.SH,20260813,overlap_core,1,,0.01274647887323943,0.013102199852260354,142.0,,1.0,,-0.0003557209790209237
h2m80d50_dual,688347.SH,20260813,overlap_core,1,,-0.06207407407407406,-0.061718353095053136,270.0,,1.0,,-0.0003557209790209237
h2m80d50_dual,688362.SH,20260813,strong_only,2,,-0.014494854326714046,-0.014139133347693122,68.99,,1.0,,-0.0003557209790209237
h2m80d50_dual,688403.SH,20260813,overlap_core,1,,-0.01346938775510198,-0.013113666776081057,24.5,,1.0,,-0.0003557209790209237
h2m80d50_dual,688766.SH,20260813,overlap_core,1,,0.02750000000000008,0.027855720979021004,400.0,,1.0,,-0.0003557209790209237
h2m80d50_dual,002409.SZ,20260811,strict_only,3,0.0,-0.026058631921824116,-0.024405911344857145,153.5,149.5,2.0,expiry_close,-0.0016527205769669706
h2m80d50_dual,300548.SZ,20260811,strict_only,3,1.0,0.0783472794230331,0.08000000000000007,173.03,186.58642975856742,2.0,profit_intraday,-0.0016527205769669706
h2m80d50_dual,688048.SH,20260811,strict_only,3,1.0,0.0783472794230331,0.08000000000000007,288.99,311.63158028046234,2.0,profit_intraday,-0.0016527205769669706
h2m80d50_dual,688362.SH,20260811,strict_only,3,0.0,-0.011469221835075372,-0.009816501258108401,68.88,68.09,2.0,expiry_close,-0.0016527205769669706
h2m80d50_dual,688409.SH,20260811,strict_only,3,0.0,-0.0014304787335495117,0.0002222418434174589,209.72,209.42,2.0,expiry_close,-0.0016527205769669706
